sentiment_class	text	pre_clean_len_text	clean_text	clean_len_text
1	I highly recommend Malcolm Gladwell's 'The Tipping Point.' My next audiobook will probably be one of his as well.	113	i highly recommend malcolm gladwell the tipping point my next audiobook will probably be one of his as well	107
0	Malcolm Gladwell is a genius at tricking people into not realizing he's a fucking idiot	87	malcolm gladwell is genius at tricking people into not realizing he fucking idiot	81
0	@sportsguy33 hey no offense but malcolm gladwell is a pretenious, annoying cunt and he brings you down. cant read his shit	122	hey no offense but malcolm gladwell is pretenious annoying cunt and he brings you down can not read his shit	108
1	RT @clashmore: http://bit.ly/SOYv7  Great article by Malcolm Gladwell.	70	rt great article by malcolm gladwell	36
1	I seriously underestimated Malcolm Gladwell.  I want to meet this dude.	71	i seriously underestimated malcolm gladwell i want to meet this dude	68
0	i hate comcast right now. everything is down cable internet &amp; phone....ughh what am i to do	95	i hate comcast right now everything is down cable internet and phone ughh what am i to do	89
0	Comcast sucks.	14	comcast sucks	13
0	The day I never have to deal with Comcast again will rank as one of the best days of my life.	93	the day i never have to deal with comcast again will rank as one of the best days of my life	92
0	@Dommm did comcast fail again??	31	did comcast fail again	22
0	curses the Twitter API limit	28	curses the twitter api limit	28
0	Now I can see why Dave Winer screams about lack of Twitter API, its limitations and access throttles!	101	now i can see why dave winer screams about lack of twitter api its limitations and access throttles	99
0	Arg. Twitter API is making me crazy.	36	arg twitter api is making me crazy	34
1	I'm really loving the new search site Wolfram/Alpha. Makes Google seem so ... quaint. http://www72.wolframalpha.com/	116	i am really loving the new search site wolfram alpha makes google seem so quaint	80
0	#wolfram Alpha SUCKS! Even for researchers the information provided is less than you can get from #google or #wikipedia, totally useless!	137	wolfram alpha sucks even for researchers the information provided is less than you can get from google or wikipedia totally useless	131
1	Off to the NIKE factory!!!	26	off to the nike factory	23
1	New nike muppet commercials are pretty cute. Why do we live together again?	75	new nike muppet commercials are pretty cute why do we live together again	73
0	@Fraggle312 oh those are awesome! i so wish they weren't owned by nike :(	73	oh those are awesome i so wish they were not owned by nike	58
1	@tonyhawk http://twitpic.com/5c7uj - AWESOME!!! Seeing the show Friday at the Shoreline Amphitheatre. Never seen NIN before. Can't wait. ...	140	awesome seeing the show friday at the shoreline amphitheatre never seen nin before can not wait	95
0	"arhh, It's weka bug. = ="" and I spent almost two hours to find that out. crappy me"	82	arhh it weka bug and i spent almost two hours to find that out crappy me	72
1	@mitzs hey bud :) np I do so love my 50D, although I'd love a 5D mkII more	74	hey bud np i do so love my although i love mkii more	52
1	@jonduenas @robynlyn just got us a 50D for the office. :D	57	just got us for the office	26
1	Just picked up my new Canon 50D...it's beautiful!!  Prepare for some seriously awesome photography!	99	just picked up my new canon it beautiful prepare for some seriously awesome photography	87
1	Just got my new toy. Canon 50D. Love love love it!	50	just got my new toy canon love love love it	43
1	Learning about lambda calculus :)	33	learning about lambda calculus	30
1	I'm moving to East Palo Alto!	29	i am moving to east palo alto	29
1	@ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock!	104	atebits i just finished watching your stanford iphone class session i really appreciate it you rock	99
1	@jktweet Hi! Just saw your Stanford talk and really liked your advice. Just saying Hi from Singapore (yes the videos do get around)	131	hi just saw your stanford talk and really liked your advice just saying hi from singapore yes the videos do get around	118
1	LAKERS tonight let's go!!!!	27	lakers tonight let go	21
1	Will the Lakers kick the Nuggets ass tonight?	45	will the lakers kick the nuggets ass tonight	44
0	Oooooooh... North Korea is in troubleeeee! http://bit.ly/19epAH	63	oooooooh north korea is in troubleeeee	38
0	Wat the heck is North Korea doing!!??!! They just conducted powerful nuclear tests! Follow the link: http://www.msnbc.msn.com/id/30921379	137	wat the heck is north korea doing they just conducted powerful nuclear tests follow the link	92
0	Listening to Obama... Friggin North Korea...	44	listening to obama friggin north korea	38
0	I just realized we three monkeys in the white Obama.Biden,Pelosi . Sarah Palin 2012	83	i just realized we three monkeys in the white obama biden pelosi sarah palin	76
0	@foxnews Pelosi should stay in China and never come back.	57	pelosi should stay in china and never come back	47
0	Nancy Pelosi gave the worst commencement speech I've ever heard. Yes I'm still bitter about this	96	nancy pelosi gave the worst commencement speech i have ever heard yes i am still bitter about this	98
0	ugh. the amount of times these stupid insects have bitten me. Grr..	67	ugh the amount of times these stupid insects have bitten me grr	63
1	Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p	60	prettiest insects ever pink katydids	36
0	Just got barraged by a horde of insects hungry for my kitchen light. So scary.	78	just got barraged by horde of insects hungry for my kitchen light so scary	74
1	Just had McDonalds for dinner. :D It was goooood. Big Mac Meal. ;)	66	just had mcdonalds for dinner it was goooood big mac meal	57
1	AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =]	59	ahh yes lol ima tell my hubby to go get me sum mcdonalds	56
1	Stopped to have lunch at McDonalds. Chicken Nuggetssss! :) yummmmmy.	68	stopped to have lunch at mcdonalds chicken nuggetssss yummmmmy	62
1	Could go for a lot of McDonalds. i mean A LOT.	46	could go for lot of mcdonalds i mean lot	40
1	my exam went good. @HelloLeonie: your prayers worked (:	55	my exam went good your prayers worked	37
1	Only one exam left, and i am so happy for it :D	47	only one exam left and i am so happy for it	43
0	Math review. Im going to fail the exam.	39	math review im going to fail the exam	37
0	Colin Powell rocked yesterday on CBS. Cheney needs to shut the hell up and go home.Powell is a man of Honor and served our country proudly	138	colin powell rocked yesterday on cbs cheney needs to shut the hell up and go home powell is man of honor and served our country proudly	135
0	obviously not siding with Cheney here: http://bit.ly/19j2d	58	obviously not siding with cheney here	37
1	Absolutely hilarious!!! from @mashable:  http://bit.ly/bccWt	60	absolutely hilarious from	25
1	@mashable I never did thank you for including me in your Top 100 Twitter Authors! You Rock! (&amp; I New Wave :-D) http://bit.ly/EOrFV	134	i never did thank you for including me in your top twitter authors you rock and i new wave	90
1	RT @shrop: Awesome JQuery reference book for Coda! http://www.macpeeps.com/coda/ #webdesign	91	rt awesome jquery reference book for coda webdesign	51
1	I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them	136	i have been sending mails like crazy today to my contacts does anyone have contact at goodby silverstein i love to speak to them	128
1	Goodby, Silverstein's new site... http://www.goodbysilverstein.com/ I enjoy it.	79	goodby silverstein new site i enjoy it	38
1	Wow everyone at the Google I/O conference got free G2's with a month of unlimited service	89	wow everyone at the google i conference got free with month of unlimited service	80
1	@vkerkez dood I got a free google android phone at the I/O conference. The G2!	78	dood i got free google android phone at the i conference the	60
1	@Orli the G2 is amazing btw, a HUGE improvement over the G1	59	the is amazing btw huge improvement over the	44
1	HTML 5 Demos! Lots of great stuff to come! Yes, I'm excited. :) http://htmlfive.appspot.com #io2009 #googleio	109	html demos lots of great stuff to come yes i am excited io googleio	67
1	@googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google!	83	yay happy place place place i love google	41
1	#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun.	77	googleio bringing graphics to the browser very nice tbh funfun	62
1	"Awesome viral marketing for ""Funny People"" http://www.nbc.com/yo-teach/"	71	awesome viral marketing for funny people	40
0	saw night at the museum out of sheer desperation. who is funding these movies?	78	saw night at the museum out of sheer desperation who is funding these movies	76
1	Night At The Museum 2? Pretty furkin good.	42	night at the museum pretty furkin good	38
1	Watching Night at the Museum - giggling.	40	watching night at the museum giggling	37
0	Back from seeing 'Star Trek' and 'Night at the Museum.' 'Star Trek' was amazing, but 'Night at the Museum' was; eh.	115	back from seeing star trek and night at the museum star trek was amazing but night at the museum was eh	103
1	just watched night at the museum 2! so stinkin cute!	52	just watched night at the museum so stinkin cute	48
1	So, Night at the Museum 2 was AWESOME! Much better than part 1. Next weekend we'll see Up.	90	so night at the museum was awesome much better than part next weekend we ll see up	82
1	saw the new Night at the Museum and i loved it. Next is to go see UP in 3D	74	saw the new night at the museum and i loved it next is to go see up in	70
0	It is a shame about GM. What if they are forced to make only cars the White House THINKS will sell? What do you think?	118	it is shame about gm what if they are forced to make only cars the white house thinks will sell what do you think	113
0	As u may have noticed, not too happy about the GM situation, nor AIG, Lehman, et al	83	as may have noticed not too happy about the gm situation nor aig lehman et al	77
0	@Pittstock $GM good riddance.  sad though.	42	gm good riddance sad though	27
0	I Will NEVER Buy a Government Motors Vehicle: Until just recently, I drove GM cars. Since 1988, when I bought a .. http://tinyurl.com/lulsw8	140	i will never buy government motors vehicle until just recently i drove gm cars since when i bought	98
0	Having the old Coca-Cola guy on the GM board is stupid has heck! #tcot #ala	75	having the old coca cola guy on the gm board is stupid has heck tcot ala	72
0	#RantsAndRaves The worst thing about GM (concord / pleasant hill / martinez): is the fucking UAW. ..   http://buzzup.com/4ueb	125	rantsandraves the worst thing about gm concord pleasant hill martinez is the fucking uaw	88
0	Give a man a fish, u feed him for the day. Teach him to fish, u feed him for life. Buy him GM, and u F**K him over for good.	124	give man fish feed him for the day teach him to fish feed him for life buy him gm and him over for good	103
0	The more I hear about this GM thing the more angry I get. Billions wasted, more bullshit. All for something like 40k employees and all the..	140	the more i hear about this gm thing the more angry i get billions wasted more bullshit all for something like employees and all the	131
0	@QuantTrader i own a GM car and it is junk as far as quality compared to a honda	80	i own gm car and it is junk as far as quality compared to honda	63
0	sad day...bankrupt GM	21	sad day bankrupt gm	19
0	is upset about the whole GM thing. life as i know it is so screwed up	69	is upset about the whole gm thing life as i know it is so screwed up	68
0	whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs	139	whoever is running time warner needs to be repeatedly raped by rhino so they understand the consequences of putting out shitty cable svcs	137
0	#WFTB Joining a bit late. My connection was down (boo time warner)	66	wftb joining bit late my connection was down boo time warner	60
0	Cox or Time Warner?  Cox is cheaper and gets a B on dslreports.  TW is more expensive and gets a C.	99	cox or time warner cox is cheaper and gets on dslreports tw is more expensive and gets	86
0	i am furious with time warner and their phone promotions!	57	i am furious with time warner and their phone promotions	56
0	Just got home from chick-fil-a with the boys. Damn my internets down =( stupid time warner	90	just got home from chick fil with the boys damn my internets down stupid time warner	84
0	could time-warner cable suck more?  NO.	39	could time warner cable suck more no	36
0	Pissed at Time Warner for causin me to have slow internet problems	66	pissed at time warner for causin me to have slow internet problems	66
0	@sportsguy33 Ummm, having some Time Warner problems?	52	ummm having some time warner problems	37
0	You guys see this?  Why does Time Warner have to suck so much ass?  Really wish I could get U-Verse at my apartment. http://bit.ly/s594j	136	you guys see this why does time warner have to suck so much ass really wish i could get verse at my apartment	109
0	RT @sportsguy33 The upside to Time Warner: unhelpful phone operators   superslow on-site service. Crap, that's not an upside.	125	rt the upside to time warner unhelpful phone operators superslow on site service crap that not an upside	104
0	"RT @sportsguy33: New Time Warner slogan: ""Time Warner, where we make you long for the days before cable."""	105	rt new time warner slogan time warner where we make you long for the days before cable	86
0	confirmed: it's Time Warner's fault, not Facebook's, that fb is taking about 3 minutes to load. so tempted to switch to verizon =/	130	confirmed it time warner fault not facebook that fb is taking about minutes to load so tempted to switch to verizon	115
0	@sportsguy33 Time Warner = epic fail	36	time warner epic fail	21
0	I know. How sad is that?  RT @caseymercier: 1st day of hurricane season. That's less scarey than govt taking over GM.	117	i know how sad is that rt st day of hurricane season that less scarey than govt taking over gm	94
0	GM files Bankruptcy, not a good sign...	39	gm files bankruptcy not good sign	33
1	yankees won mets lost. its a good day.	38	yankees won mets lost its good day	34
1	My dentist appt today was actually quite enjoyable.	51	my dentist appt today was actually quite enjoyable	50
0	I hate the effing dentist.	26	i hate the effing dentist	25
0	@kirstiealley I hate going to the dentist.. !!!	47	i hate going to the dentist	27
0	i hate the dentist....who invented them anyways?	48	i hate the dentist who invented them anyways	44
0	this dentist's office is cold :/	32	this dentist office is cold	27
1	Just applied at Safeway!(: Yeeeee!	34	just applied at safeway yeeeee	30
0	@ Safeway. Place is a nightmare right now. Bumming.	51	safeway place is nightmare right now bumming	44
0	HATE safeway select green tea icecream! bought two cartons, what a waste of money.  &gt;_&lt;	93	hate safeway select green tea icecream bought two cartons what waste of money	77
1	Nike rocks. I'm super grateful for what I've done with them :) &amp; the European Division of NIKE is BEYOND! @whitSTYLES @muchasmuertes	136	nike rocks i am super grateful for what i have done with them and the european division of nike is beyond	105
1	@evelynbyrne have you tried Nike  ? V. addictive.	49	have you tried nike addictive	29
1	The Nike Training Club (beta) iPhone app looks very interesting.	64	the nike training club beta iphone app looks very interesting	61
0	argghhhh why won't  my jquery appear in safari bad safari !!!	61	argghhhh why will not my jquery appear in safari bad safari	59
1	I'm ready to drop the pretenses, I am forever in love with jQuery, and I want to marry it. Sorry ladies, this nerd is jquery.spokenFor.js	137	i am ready to drop the pretenses i am forever in love with jquery and i want to marry it sorry ladies this nerd is jquery spokenfor js	134
1	SUPER INVESTORS: A great weekend read here from Warren Buffet. Oldie, but a goodie. http://tinyurl.com/oqxgga	109	super investors great weekend read here from warren buffet oldie but goodie	75
1	reading Michael Palin book, The Python Years...great book. I also recommend Warren Buffet &amp; Nelson Mandela's bio	116	reading michael palin book the python years great book i also recommend warren buffet and nelson mandela bio	108
1	I mean, I'm down with Notre Dame if I have to.  It's a good school, I'd be closer to Dan, I'd enjoy it.	103	i mean i am down with notre dame if i have to it good school i be closer to dan i enjoy it	90
0	I can't watch TV without a Tivo.  And after all these years, the Time/Warner DVR  STILL sucks. http://www.davehitt.com/march03/twdvr.html	137	i can not watch tv without tivo and after all these years the time warner dvr still sucks	89
1	I'd say some sports writers are idiots for saying Roger Federer is one of the best ever in Tennis.  Roger Federer is THE best ever in Tennis	140	i say some sports writers are idiots for saying roger federer is one of the best ever in tennis roger federer is the best ever in tennis	136
0	I still love my Kindle2 but reading The New York Times on it does not feel natural. I miss the Bloomingdale ads.	112	i still love my kindle but reading the new york times on it does not feel natural i miss the bloomingdale ads	109
1	I love my Kindle2. No more stacks of books to trip over on the way to the loo.	78	i love my kindle no more stacks of books to trip over on the way to the loo	75
0	Although today's keynote rocked, for every great announcement, AT&amp;T shit on us just a little bit more.	106	although today keynote rocked for every great announcement atandt shit on us just little bit more	97
0	@sheridanmarfil - its not so much my obsession with cell phones, but the iphone!  i'm a slave to at&amp;t forever because of it. :)	131	its not so much my obsession with cell phones but the iphone i am slave to atandt forever because of it	103
0	Fuzzball is more fun than AT&amp;T ;P http://fuzz-ball.com/twitter	66	fuzzball is more fun than atandt	32
0	Today is a good day to dislike AT&amp;T. Vote out of office indeed, @danielpunkass	82	today is good day to dislike atandt vote out of office indeed	61
1	GOT MY WAVE SANDBOX INVITE! Extra excited! Too bad I have class now... but I'll play with it soon enough! #io2009 #wave	119	got my wave sandbox invite extra excited too bad i have class now but i will play with it soon enough io wave	109
0	looks like summize has gone down. too many tweets from WWDC perhaps?	68	looks like summize has gone down too many tweets from wwdc perhaps	66
1	@sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised, fabulous. Thank you! Best, Kathleen	137	thanks so much from one of your very happy kindle winners i was so surprised fabulous thank you best kathleen	109
0	Man I kinda dislike Apple right now. Case in point: the iPhone 3GS. Wish there was a video recorder app. Please?? http://bit.ly/DZm1T	133	man i kinda dislike apple right now case in point the iphone gs wish there was video recorder app please	104
1	@cwong08 I have a Kindle2 (&amp; Sony PRS-500). Like it! Physical device feels good. Font is nice. Pg turns are snappy enuf. UI a little klunky.	144	i have kindle and sony prs like it physical device feels good font is nice pg turns are snappy enuf ui little klunky	116
1	The #Kindle2 seems the best eReader, but will it work in the UK and where can I get one?	88	the kindle seems the best ereader but will it work in the uk and where can i get one	84
1	I have a google addiction. Thank you for pointing that out, @annamartin123. Hahaha.	83	i have google addiction thank you for pointing that out hahaha	62
0	dearest @google, you rich bastards! the VISA card you sent me doesn't work. why screw a little guy like me?	107	dearest you rich bastards the visa card you sent me does not work why screw little guy like me	94
1	Excited about seeing Bobby Flay and Guy Fieri tomorrow at the Great American Food &amp; Music Fest!	99	excited about seeing bobby flay and guy fieri tomorrow at the great american food and music fest	96
1	Gonna go see Bobby Flay 2moro at Shoreline. Eat and drink. Gonna be good.	73	gonna go see bobby flay moro at shoreline eat and drink gonna be good	69
1	can't wait for the great american food and music festival at shoreline tomorrow.  mmm...katz pastrami and bobby flay. yes please.	129	can not wait for the great american food and music festival at shoreline tomorrow mmm katz pastrami and bobby flay yes please	125
1	My dad was in NY for a day, we ate at MESA grill last night and met Bobby Flay. So much fun, except I completely lost my voice today.	133	my dad was in ny for day we ate at mesa grill last night and met bobby flay so much fun except i completely lost my voice today	127
0	Fighting with LaTex. Again...	29	fighting with latex again	25
0	@Iheartseverus we love you too and don't want you to die!!!!!!  Latex = the devil	81	we love you too and do not want you to die latex the devil	58
0	7 hours. 7 hours of inkscape crashing, normally solid as a rock. 7 hours of LaTeX complaining at the slightest thing. I can't take any more.	140	hours hours of inkscape crashing normally solid as rock hours of latex complaining at the slightest thing i can not take any more	129
0	Shit's hitting the fan in Iran...craziness indeed #iranelection	63	shit hitting the fan in iran craziness indeed iranelection	58
0	Monday already. Iran may implode. Kitchen is a disaster. @annagoss seems happy. @sebulous had a nice weekend and @goldpanda is great. whoop.	140	monday already iran may implode kitchen is disaster seems happy had nice weekend and is great whoop	99
1	getting ready to test out some burger receipes this weekend. Bobby Flay has some great receipes to try. Thanks Bobby.	117	getting ready to test out some burger receipes this weekend bobby flay has some great receipes to try thanks bobby	114
1	i lam so in love with Bobby Flay... he is my favorite. RT @terrysimpson: @bflay you need a place in Phoenix. We have great peppers here!	136	i lam so in love with bobby flay he is my favorite rt you need place in phoenix we have great peppers here	106
0	I just created my first LaTeX file from scratch. That didn't work out very well. (See @amandabittner , it's a great time waster)	128	i just created my first latex file from scratch that did not work out very well see it great time waster	104
1	using Linux and loving it - so much nicer than windows... Looking forward to using the wysiwyg latex editor!	108	using linux and loving it so much nicer than windows looking forward to using the wysiwyg latex editor	102
1	After using LaTeX a lot, any other typeset mathematics just looks hideous.	74	after using latex lot any other typeset mathematics just looks hideous	70
0	On that note, I hate Word. I hate Pages. I hate LaTeX. There, I said it. I hate LaTeX. All you TEXN3RDS can come kill me now.	125	on that note i hate word i hate pages i hate latex there i said it i hate latex all you texn rds can come kill me now	117
1	Ahhh... back in a *real* text editing environment. I &lt;3 LaTeX.	65	ahhh back in real text editing environment i latex	50
0	Trouble in Iran, I see. Hmm. Iran. Iran so far away. #flockofseagullsweregeopoliticallycorrect	94	trouble in iran i see hmm iran iran so far away flockofseagullsweregeopoliticallycorrect	88
0	Reading the tweets coming out of Iran... The whole thing is terrifying and incredibly sad...	92	reading the tweets coming out of iran the whole thing is terrifying and incredibly sad	86
