	Negative	Positive	TotalFreq
collection	6	18	24
collections	0	3	3
collective	1	6	7
collectively	0	1	1
collector	0	1	1
collectors	1	1	2
colleen	2	1	3
college	90	57	147
colleges	2	0	2
collegues	2	0	2
collesium	0	1	1
collge	0	1	1
collide	1	0	1
collie	1	1	2
collin	0	1	1
collings	0	1	1
collins	0	5	5
collister	1	0	1
colly	0	1	1
cologne	2	3	5
colombia	2	2	4
colombian	0	1	1
colombus	0	1	1
colomns	0	1	1
colon	2	1	3
colonies	0	1	1
colonists	1	0	1
colony	2	1	3
color	18	27	45
colorado	7	5	12
colorblind	0	1	1
colored	0	4	4
colorful	0	1	1
coloring	3	2	5
colors	5	14	19
colossal	1	0	1
colour	8	15	23
coloured	0	2	2
colourful	0	1	1
colouring	0	1	1
colourless	1	0	1
colours	1	9	10
coloursfesr	1	0	1
colton	1	0	1
coltons	1	0	1
coltrain	0	1	1
colts	1	0	1
columbia	2	0	2
columbine	1	0	1
columbus	4	6	10
column	3	4	7
columnist	0	1	1
columns	0	1	1
colvin	1	0	1
com	89	137	226
coma	2	3	5
comaaa	0	1	1
comadre	1	0	1
comb	4	0	4
combat	1	1	2
combatarms	0	1	1
combi	1	0	1
combicbook	1	0	1
combichrist	1	1	2
combination	10	11	21
combinations	0	1	1
combine	0	3	3
combined	1	1	2
combines	0	1	1
combing	1	0	1
combo	11	6	17
combos	1	0	1
combust	1	0	1
comcast	5	2	7
come	666	598	1264
comeback	2	3	5
comed	1	0	1
comedian	1	1	2
comedians	0	1	1
comedic	0	1	1
comedie	0	1	1
comedies	1	1	2
comedown	1	1	2
comedy	8	15	23
comedyqueen	1	0	1
comee	3	0	3
comeeee	1	3	4
comeeeeee	1	0	1
comeeeeeeeeeeeeeeeeeeeeee	0	1	1
comein	0	1	1
coment	3	0	3
comentario	0	1	1
coments	0	1	1
comeon	1	0	1
comeonpwnagetool	1	0	1
comer	0	1	1
comercial	0	3	3
comes	80	93	173
comet	1	0	1
comets	0	1	1
comfiscated	1	0	1
comfort	8	8	16
comfortable	8	7	15
comfortably	1	1	2
comforting	0	1	1
comfortness	0	1	1
comfy	7	13	20
comfyyy	0	1	1
comic	11	8	19
comical	0	2	2
comics	8	4	12
comin	17	15	32
coming	269	255	524
comingg	1	1	2
comings	1	0	1
cominq	1	0	1
comission	1	0	1
comissioned	0	1	1
comlumbia	0	1	1
comm	1	1	2
commadore	0	1	1
comman	0	1	1
command	2	4	6
commandeer	1	1	2
commandeered	1	0	1
commando	1	0	1
commands	4	0	4
commence	3	3	6
commenced	1	0	1
commencement	0	3	3
commences	1	0	1
comment	24	67	91
commentary	2	1	3
commentate	0	1	1
commentating	1	1	2
commented	3	4	7
commenting	2	4	6
comments	21	28	49
commerce	4	0	4
commercial	12	10	22
commercials	8	5	13
commerials	1	0	1
commerical	2	0	2
commericals	0	1	1
commericial	0	1	1
commin	1	1	2
comming	4	3	7
commiserate	0	1	1
commiserating	0	1	1
commiseration	0	1	1
commissary	0	1	1
commission	4	1	5
commit	4	1	5
commited	1	0	1
commiting	1	0	1
commitment	2	2	4
committed	3	1	4
committee	0	2	2
committment	0	1	1
commmander	1	0	1
commmon	0	1	1
commodity	1	0	1
common	8	13	21
commons	0	1	1
communicasia	1	0	1
communicate	5	3	8
communicating	1	0	1
communication	4	2	6
communications	1	3	4
communities	0	1	1
community	15	11	26
communitychannel	1	0	1
communityone	1	0	1
commute	10	1	11
commutes	0	1	1
commuting	1	0	1
comn	2	0	2
como	0	1	1
comon	0	1	1
comp	32	18	50
compact	2	0	2
compagnie	0	1	1
compagnons	0	1	1
companies	8	1	9
companion	2	0	2
companions	1	0	1
company	48	52	100
compaq	1	0	1
comparable	0	1	1
compare	6	11	17
compared	7	9	16
compares	1	0	1
comparing	0	2	2
comparison	1	2	3
comparisons	1	0	1
compass	3	2	5
compassion	0	1	1
compat	0	1	1
compatibility	0	1	1
compatible	8	1	9
comped	0	1	1
compeed	1	0	1
compelled	0	2	2
compete	2	2	4
competent	0	1	1
competentcy	1	0	1
competing	1	1	2
competion	0	1	1
competition	9	14	23
competitions	2	0	2
competitior	0	1	1
competitive	1	2	3
competiton	0	1	1
compfy	0	1	1
compilation	0	1	1
compile	1	1	2
compiler	1	0	1
compiling	0	1	1
comping	1	0	1
complain	7	9	16
complained	0	2	2
complaing	0	1	1
complainin	0	1	1
complaining	6	14	20
complains	0	1	1
complaint	6	3	9
complaints	0	3	3
compleanno	0	1	1
complementary	2	0	2
complete	35	35	70
completed	8	11	19
completely	40	34	74
completes	0	1	1
completey	0	1	1
completion	1	1	2
completly	2	1	3
complex	4	5	9
complexes	0	1	1
compliation	1	0	1
complicate	0	1	1
complicated	12	5	17
complicating	1	0	1
complications	1	0	1
compliment	2	16	18
complimented	0	2	2
compliments	0	2	2
compo	0	1	1
component	0	1	1
components	0	1	1
compose	1	2	3
composed	2	0	2
composing	0	3	3
composition	0	1	1
compositions	0	1	1
compost	1	0	1
compound	1	1	2
compras	1	0	1
comprehend	2	1	3
comprends	1	0	1
compresses	1	0	1
compressing	0	1	1
compromised	0	1	1
compromises	0	1	1
comps	1	0	1
comptine	0	1	1
compu	1	0	1
compulsive	1	0	1
computa	1	0	1
compute	1	0	1
computer	175	72	247
computeria	0	1	1
computerized	1	0	1
computerless	1	0	1
computers	20	6	26
computex	0	1	1
computing	3	1	4
compy	1	0	1
comrade	1	0	1
comunication	1	0	1
con	27	10	37
conan	17	20	37
conboozling	1	0	1
concall	0	1	1
concealment	1	0	1
concentrate	8	2	10
concentration	2	0	2
concept	4	10	14
conceptual	0	1	1
concer	1	0	1
concern	2	7	9
concerned	4	5	9
concerneded	1	0	1
concerns	0	3	3
concert	96	109	205
concerts	19	4	23
concerttt	2	1	3
concession	0	1	1
conchords	0	3	3
conci	1	0	1
concise	1	0	1
conclude	1	2	3
concluded	2	1	3
conclusion	1	5	6
conclusionz	0	1	1
concord	1	1	2
concordo	0	1	1
concourse	0	1	1
concrete	1	1	2
concur	1	2	3
concussed	1	0	1
concussion	1	0	1
condella	0	1	1
condense	2	1	3
condensed	1	0	1
condiments	0	1	1
condition	5	5	10
conditional	0	1	1
conditioned	1	1	2
conditioner	10	4	14
conditioning	6	2	8
conditions	5	0	5
condo	2	3	5
condolence	1	1	2
condolences	9	0	9
condom	1	1	2
condoms	1	2	3
condos	1	0	1
conducive	1	0	1
conduct	1	0	1
cone	4	4	8
conect	1	0	1
conection	1	0	1
conejitos	1	0	1
cones	1	3	4
conestoga	1	0	1
coney	2	0	2
conf	10	4	14
confed	1	0	1
confedcup	1	0	1
confederations	2	0	2
conference	20	19	39
conferences	1	1	2
confess	2	3	5
confession	2	6	8
confessions	1	1	2
confessiont	1	0	1
confessors	1	0	1
confetti	1	2	3
confidence	3	9	12
confident	5	4	9
confidental	0	1	1
confidentials	1	0	1
config	3	0	3
configuration	1	0	1
configured	0	1	1
configuring	1	0	1
confined	1	0	1
confirm	2	3	5
confirmation	6	2	8
confirmed	13	16	29
confirming	0	1	1
confirms	1	0	1
confiscated	2	0	2
confiscating	0	1	1
conflict	4	0	4
conformist	0	1	1
confortable	0	1	1
confrence	1	1	2
confront	1	0	1
confucianism	1	0	1
confucius	0	1	1
confuse	4	1	5
confused	45	20	65
confuses	1	0	1
confusin	1	1	2
confusing	18	11	29
confusingg	1	0	1
confusion	7	2	9
confusssing	1	0	1
cong	0	1	1
conga	2	1	3
congested	2	0	2
congestion	4	0	4
conglomerate	0	1	1
congradulations	0	1	1
congrat	0	2	2
congrates	1	0	1
congrats	23	169	192
congratualations	0	1	1
congratulate	0	1	1
congratulated	1	0	1
congratulating	1	0	1
congratulation	0	3	3
congratulations	6	74	80
congratulatory	1	0	1
congratumalations	0	1	1
congratz	0	3	3
congress	1	2	3
congrsts	0	1	1
congruences	1	0	1
conhecer	0	1	1
conic	1	0	1
conjure	0	1	1
conked	1	1	2
conks	1	0	1
conn	2	0	2
conncted	0	1	1
connect	13	9	22
connected	5	7	12
connecter	0	1	1
connecticut	3	1	4
connecting	1	5	6
connection	29	12	41
connections	0	5	5
connectivity	1	0	1
connector	3	1	4
connects	0	2	2
conned	0	1	1
connell	0	1	1
conner	1	0	1
connery	0	1	1
connex	0	1	1
conni	1	0	1
connie	2	0	2
connor	5	1	6
connors	1	0	1
conoli	0	1	1
conor	1	2	3
conplainer	1	0	1
conquer	2	0	2
conquered	1	1	2
conquering	1	0	1
conqueror	0	1	1
conquest	1	1	2
conquista	0	1	1
conrad	0	4	4
conraz	0	1	1
conrol	1	0	1
conroy	1	0	1
cons	1	0	1
conscious	5	3	8
consciousness	0	2	2
consdering	1	0	1
consecutive	1	2	3
consecutively	0	1	1
consensus	0	1	1
consent	1	0	1
consented	1	0	1
consequence	0	1	1
consequences	2	2	4
consequently	1	1	2
conserend	1	0	1
consert	1	0	1
conservative	1	0	1
conservatory	0	1	1
conservertory	1	0	1
conserving	1	0	1
consider	7	19	26
considerably	0	1	1
considerate	0	1	1
considered	4	9	13
considerin	1	0	1
considering	18	22	40
considers	2	0	2
considr	1	0	1
consiperacy	0	1	1
consist	3	0	3
consistantly	1	0	1
consisted	0	2	2
consistency	1	0	1
consistent	2	0	2
consistently	1	1	2
consists	1	2	3
conslut	1	0	1
consolation	4	1	5
console	5	4	9
consoles	2	0	2
consolidate	1	1	2
consolidated	1	0	1
consorting	0	1	1
conspiracy	5	2	7
constance	0	1	1
constant	8	4	12
constantly	9	5	14
constipated	2	0	2
constituent	0	1	1
constitutes	0	1	1
constraint	0	2	2
constructed	1	0	1
construction	4	3	7
constructive	1	0	1
consult	0	2	2
consultant	0	1	1
consulting	0	1	1
consume	0	2	2
consumed	1	1	2
consumer	0	1	1
consumerism	1	0	1
consumerist	1	0	1
consumers	1	1	2
consumes	1	0	1
consuming	1	1	2
consummate	1	1	2
consumption	1	1	2
cont	5	3	8
contacs	1	0	1
contact	20	20	40
contactable	1	0	1
contacted	2	0	2
contacting	2	1	3
contacts	19	11	30
contactsand	1	0	1
contagious	2	1	3
contain	4	2	6
contained	0	1	1
container	1	4	5
containing	0	1	1
contains	1	1	2
contamination	0	1	1
contd	2	1	3
contemplate	0	1	1
contemplates	1	0	1
contemplatin	1	0	1
contemplating	6	6	12
contemporary	0	2	2
contender	0	1	1
content	14	22	36
contente	0	1	1
contented	0	2	2
contentrate	1	0	1
contents	0	1	1
contentstrategy	0	1	1
contest	19	17	36
contests	2	0	2
context	2	5	7
conti	1	0	1
continent	1	0	1
continental	1	0	1
contingent	0	1	1
continous	0	1	1
continue	23	24	47
continued	1	1	2
continues	9	8	17
continuing	3	1	4
continuous	1	2	3
continuously	2	0	2
continus	0	1	1
continuum	1	0	1
contract	14	5	19
contraction	1	0	1
contractor	1	1	2
contracts	3	1	4
contradiction	0	1	1
contraption	0	1	1
contrary	1	4	5
contrast	1	1	2
contratulations	0	1	1
contribute	2	0	2
contributed	1	0	1
contributes	0	1	1
contributing	0	2	2
contribution	1	5	6
contributions	1	0	1
contributor	0	2	2
control	31	22	53
controller	5	4	9
controllers	0	1	1
controlling	1	1	2
controls	1	1	2
controversial	0	1	1
contused	1	0	1
conv	0	1	1
convenient	4	3	7
conveniently	1	0	1
convention	5	5	10
conventions	1	0	1
convers	1	0	1
conversation	10	26	36
conversations	3	9	12
converse	1	5	6
conversing	1	0	1
conversion	1	0	1
converstion	1	0	1
convert	5	5	10
converted	0	1	1
convertible	0	2	2
converting	1	3	4
convey	0	2	2
convice	0	1	1
convicin	1	0	1
convience	0	1	1
convienence	1	0	1
convient	1	0	1
convierta	1	0	1
convince	5	8	13
convinced	3	6	9
convincing	3	3	6
conviscated	1	0	1
convivence	1	0	1
convo	8	11	19
convos	2	1	3
convoy	1	0	1
convrstations	1	0	1
cony	0	1	1
conyers	0	1	1
coo	1	2	3
coochie	0	1	1
coogan	0	1	1
coogi	1	0	1
cook	46	37	83
cookbook	1	1	2
cookd	0	1	1
cooked	12	17	29
cooker	0	2	2
cookie	13	13	26
cookies	29	32	61
cookiess	0	1	1
cookiiee	0	1	1
cookin	2	3	5
cooking	15	52	67
cookinq	1	0	1
cookout	4	7	11
cooks	1	1	2
cool	215	505	720
coolbandsmadeuncool	1	0	1
cooldddd	1	0	1
cooled	1	1	2
cooler	6	13	19
coolest	3	19	22
cooley	0	1	1
coolies	2	0	2
cooling	1	3	4
coolio	2	5	7
cooliris	0	1	1
coolish	0	1	1
coolmax	0	1	1
coolness	1	5	6
coolright	1	0	1
cools	1	0	1
coolshite	0	2	2
coolz	0	2	2
coon	2	0	2
coool	1	3	4
cooome	0	2	2
cooookies	0	1	1
cooool	0	1	1
coooome	1	0	1
coooool	0	1	1
cooooold	1	2	3
cooooolllld	1	0	1
cooooooollllldddddddd	1	0	1
coooooooof	1	0	1
coooooooooome	0	1	1
coooooooooool	0	1	1
coop	2	1	3
cooped	2	0	2
cooper	4	4	8
cooperating	2	1	3
cooperative	0	1	1
coopers	1	0	1
cooperstown	2	0	2
coops	0	1	1
coordinate	0	1	1
coordinator	0	1	1
coors	1	0	1
cootie	2	0	2
cooties	2	0	2
coots	2	0	2
cop	4	10	14
cope	4	3	7
copeland	0	1	1
copelands	1	0	1
copenhagen	2	0	2
copied	2	2	4
copier	1	0	1
copies	9	4	13
copii	0	1	1
coping	2	1	3
copious	0	1	1
coppelia	0	1	1
copperload	1	0	1
copping	1	0	1
copps	0	1	1
cops	9	6	15
copse	1	0	1
copy	36	28	64
copycat	1	1	2
copycats	1	1	2
copyright	1	0	1
copywriter	0	1	1
coq	0	1	1
coquettish	0	1	1
cor	1	1	2
coral	2	3	5
coraline	1	3	4
coratiy	0	1	1
corbin	0	2	2
corbis	0	1	1
cord	8	4	12
cordon	0	2	2
cordova	1	0	1
corduroy	2	0	2
core	7	5	12
corey	1	2	3
corfu	2	0	2
corgi	1	0	1
cori	1	0	1
corieography	1	0	1
corinna	1	0	1
corissa	1	0	1
cork	2	3	5
corks	0	1	1
corn	5	8	13
cornbread	0	2	2
corned	0	1	1
cornell	1	1	2
corner	17	20	37
corners	0	1	1
cornerstone	0	1	1
cornetto	1	2	3
corney	0	1	1
cornflakes	1	0	1
cornhole	1	1	2
cornish	0	3	3
cornmeal	0	1	1
cornnutchos	0	1	1
cornnuts	0	1	1
cornwall	2	2	4
corny	1	4	5
cornyness	0	1	1
corona	2	2	4
coronado	1	0	1
coroutines	1	0	1
corp	2	2	4
corporate	7	6	13
corpse	1	2	3
corpses	1	0	1
corpus	1	1	2
corral	1	0	1
correct	9	23	32
correctaholic	0	1	1
corrected	2	2	4
correcting	1	2	3
correction	4	9	13
corrections	1	0	1
correctly	8	6	14
correctness	0	1	1
correctoins	1	0	1
correlation	1	0	1
corret	0	1	1
correy	1	0	1
corriander	1	0	1
corridors	0	1	1
corrie	1	0	1
corries	1	0	1
corrupted	1	2	3
corsa	1	0	1
corsage	1	0	1
corsair	1	0	1
corse	1	1	2
corset	1	0	1
corseted	1	0	1
corsets	1	1	2
corsica	1	0	1
corss	0	1	1
cortar	0	1	1
cortizon	1	0	1
cortni	0	1	1
corunna	0	1	1
corvette	0	2	2
cory	4	2	6
corys	0	1	1
cos	56	43	99
cosby	1	0	1
cosignage	0	1	1
cosmetics	2	1	3
cosmetology	0	1	1
cosmic	0	2	2
cosmo	1	2	3
cosmopol	0	1	1
cosmopolition	0	1	1
cosmos	0	3	3
cospaly	1	0	1
cosplay	1	1	2
cost	30	11	41
costa	1	4	5
costco	2	6	8
costello	1	0	1
costing	2	1	3
costlier	1	0	1
costly	1	0	1
costo	0	1	1
costs	12	0	12
costume	3	4	7
costumer	0	1	1
costumes	3	1	4
coswolds	1	0	1
cosy	1	6	7
cot	0	2	2
cotch	1	0	1
cottage	2	4	6
cottle	0	1	1
cotton	1	2	3
cottys	0	1	1
coty	0	1	1
cou	0	1	1
coubt	1	0	1
couch	27	22	49
coud	0	1	1
cougar	3	3	6
cougars	1	0	1
cough	46	14	60
coughchickencough	0	1	1
coughcoughlyingcough	0	1	1
coughing	30	1	31
coughings	1	0	1
coughn	1	0	1
coughs	1	2	3
cought	1	0	1
coughted	1	0	1
coughy	1	0	1
cougossipgh	0	1	1
coul	0	1	1
could	853	460	1313
coulda	8	3	11
couldddo	1	0	1
couldent	1	0	1
couldn	2	0	2
couldnt	66	18	84
couldve	8	2	10
council	3	3	6
counciling	1	0	1
councillor	1	0	1
councillors	1	0	1
counil	1	0	1
counrty	0	1	1
counseling	1	0	1
counselor	1	0	1
counselors	1	0	1
count	31	32	63
countdown	2	10	12
counted	3	2	5
counter	8	3	11
counteract	1	0	1
counteracts	0	1	1
countered	1	0	1
counteroffered	0	1	1
counterparts	0	1	1
counterproductive	1	0	1
counters	1	0	1
counterstrike	0	1	1
counting	17	27	44
countless	0	1	1
countries	3	3	6
country	50	42	92
countrymen	1	0	1
countryside	4	5	9
counts	2	7	9
county	15	9	24
coup	0	1	1
coupl	0	1	1
couple	82	94	176
coupled	0	1	1
couples	8	4	12
coupon	7	4	11
couponcode	0	1	1
coupons	4	4	8
courage	3	2	5
courageous	0	1	1
coure	0	1	1
courier	0	1	1
course	82	169	251
courses	1	6	7
coursework	16	3	19
courseworks	1	0	1
court	11	15	26
courtesy	1	4	5
courthouse	1	0	1
courtnee	1	0	1
courtneeey	0	1	1
courtney	2	6	8
courts	2	1	3
courtyard	2	1	3
cous	0	2	2
couse	0	1	1
cousin	43	44	87
cousine	0	1	1
cousins	12	23	35
cousinssss	0	1	1
couteract	0	1	1
couting	1	0	1
couture	1	0	1
couve	0	1	1
couzin	1	0	1
cov	0	1	1
cove	0	1	1
covent	0	2	2
coventry	2	0	2
cover	31	35	66
coverage	11	4	15
coverd	0	1	1
covered	11	19	30
covergirl	0	1	1
covering	4	2	6
coverr	0	1	1
covers	6	6	12
coverup	2	0	2
covet	1	0	1
coveting	1	0	1
covina	2	1	3
cow	6	9	15
cowan	0	1	1
cowbell	1	2	3
cowboy	0	6	6
cowboys	2	3	5
cowell	0	2	2
cowichan	0	1	1
cowon	0	1	1
coworker	3	2	5
coworkers	4	2	6
cox	0	1	1
coxon	0	1	1
coy	0	2	2
coyb	0	1	1
coyote	3	0	3
coz	33	34	67
cozied	1	0	1
cozy	1	8	9
cozyyy	1	0	1
cp	3	1	4
cph	0	2	2
cpi	0	1	1
cpl	1	0	1
cpn	0	1	1
cpr	3	0	3
cpts	1	0	1
cpu	3	1	4
cpy	1	0	1
cr	2	2	4
craaaap	1	0	1
craaaazy	1	0	1
craaap	1	0	1
craaazy	0	1	1
craaazyyy	0	1	1
crab	3	2	5
crabby	3	2	5
craberry	0	1	1
crabs	2	1	3
craccn	1	0	1
crack	18	18	36
crackalackin	1	0	1
crackastic	0	1	1
crackberry	11	3	14
crackdown	1	0	1
cracked	14	4	18
cracker	2	4	6
crackers	4	2	6
crackin	2	2	4
cracking	6	8	14
crackle	0	1	1
crackling	1	1	2
cracks	2	1	3
cracktastic	0	1	1
crackup	0	1	1
cradle	1	1	2
cradles	1	0	1
craft	5	6	11
crafted	1	1	2
crafting	0	2	2
crafts	2	2	4
crafty	1	1	2
craftym	1	0	1
craftyma	1	0	1
craic	1	0	1
craig	5	9	14
craigadahl	0	1	1
craigery	1	0	1
craiglist	1	2	3
craigslist	4	3	7
craked	1	0	1
crakss	1	0	1
cram	4	2	6
crammed	1	0	1
cramming	5	0	5
crammond	0	1	1
cramp	4	0	4
cramped	1	0	1
crampers	1	0	1
cramping	2	0	2
cramps	21	1	22
crampy	3	0	3
cran	0	1	1
cranberry	0	3	3
cranial	1	0	1
crank	1	2	3
crankin	0	1	1
cranking	1	1	2
cranks	0	1	1
cranky	9	4	13
crap	158	33	191
crapix	1	0	1
crapnetic	1	0	1
crapola	1	0	1
crapp	0	1	1
crapppolaaaaaaaa	1	0	1
crapppp	1	0	1
crappppppppppppp	0	1	1
crappy	58	3	61
crappybritishweather	1	0	1
craps	2	1	3
craptastic	4	0	4
craptop	1	0	1
crapy	1	0	1
crash	35	13	48
crashed	31	7	38
crashers	1	1	2
crashes	16	3	19
crashin	0	1	1
crashing	17	6	23
crate	1	0	1
crater	1	0	1
crave	5	2	7
cravin	1	1	2
craving	37	13	50
cravings	2	3	5
cravinnnnng	1	0	1
craw	0	1	1
crawfish	5	3	8
crawl	6	4	10
crawled	1	0	1
crawling	8	4	12
crawly	1	0	1
crayola	0	2	2
crayon	0	1	1
crayons	1	0	1
crazayy	0	1	1
craze	0	1	1
crazed	0	2	2
crazee	1	0	1
craziee	1	0	1
crazier	0	3	3
crazies	1	0	1
craziest	1	1	2
craziness	1	3	4
crazinesssss	0	1	1
crazt	1	0	1
crazy	163	141	304
crazyfortheguy	1	0	1
crazyness	0	1	1
crazys	0	1	1
crazytrucker	0	1	1
crazyy	2	2	4
crazyyy	1	1	2
crazzy	0	1	1
crazzzy	0	1	1
crazzzyy	0	1	1
crazzzzyyy	1	0	1
crcna	1	0	1
creaky	0	1	1
cream	82	100	182
creambath	1	0	1
creamer	0	1	1
creamier	0	1	1
creammm	0	1	1
creampuff	0	1	1
creams	0	3	3
creando	1	0	1
creapishly	1	0	1
crease	1	0	1
create	10	16	26
createblog	1	0	1
created	8	11	19
creating	6	12	18
creation	1	4	5
creations	0	1	1
creativ	0	1	1
creative	13	25	38
creatives	0	1	1
creativesque	0	1	1
creativity	3	5	8
creator	1	0	1
creators	1	0	1
creatures	2	2	4
cred	0	3	3
credit	23	18	41
credited	0	2	2
credits	3	2	5
cree	1	0	1
creed	1	4	5
creeeeeeeeeeeeeaaaaaaaaaaaaaam	0	1	1
creeeepy	0	1	1
creek	5	5	10
creep	5	1	6
creeped	0	3	3
creeper	6	4	10
creepers	1	1	2
creeperss	0	1	1
creepier	0	1	1
creepily	0	1	1
creeping	3	0	3
creeps	0	3	3
creepy	23	9	32
creepyness	1	0	1
creepyville	0	1	1
crem	0	2	2
creme	0	4	4
crenchaw	0	1	1
creosote	0	1	1
crepe	2	1	3
crepes	0	3	3
crescendo	0	1	1
crescent	2	0	2
cressferriera	0	1	1
crete	1	4	5
creuset	0	1	1
creux	0	1	1
crev	1	0	1
crew	20	13	33
crewmembers	1	0	1
crian	0	1	1
crib	8	6	14
cribs	2	1	3
crick	1	0	1
cricket	8	7	15
crickets	3	0	3
crie	0	1	1
cried	65	11	76
cries	20	4	24
crikey	1	1	2
crime	9	4	13
crimes	1	2	3
criminal	8	4	12
crimping	0	2	2
cringe	0	2	2
cringing	1	1	2
cringy	1	0	1
criou	0	1	1
cripes	0	1	1
cripple	1	1	2
crippled	2	0	2
crippling	1	0	1
cris	0	1	1
crises	1	0	1
crisis	4	6	10
crisp	2	5	7
crispen	0	1	1
crisps	3	3	6
crispy	1	2	3
cristal	2	1	3
cristian	0	1	1
cristiano	0	1	1
cristina	0	1	1
cristinalaria	0	1	1
criteras	0	1	1
criteria	0	1	1
critic	0	1	1
critical	1	3	4
criticalmass	1	0	1
criticism	0	1	1
criticize	1	0	1
critics	1	1	2
critique	1	0	1
critiqued	0	1	1
critter	0	1	1
crittered	0	1	1
critters	1	0	1
crm	1	0	1
crnt	0	1	1
croaking	1	0	1
croaky	0	1	1
croatia	0	2	2
crocheting	0	2	2
crocker	3	0	3
crocky	0	1	1
crocs	0	1	1
croft	1	0	1
crohn	0	1	1
crohns	0	1	1
croissant	2	2	4
croissants	1	2	3
croke	1	0	1
croker	0	1	1
cronieees	0	1	1
cronkite	1	0	1
crook	3	0	3
crooked	1	1	2
crookers	1	0	1
croom	1	0	1
cropped	0	4	4
croquembouche	0	1	1
croquettes	1	0	1
crosby	1	1	2
cross	9	15	24
crossed	17	34	51
crossedgenres	0	1	1
crosses	1	0	1
crossfade	0	1	1
crossfire	0	1	1
crossing	9	6	15
crossover	0	1	1
crossplay	1	0	1
crosspoint	0	1	1
crosssed	0	1	1
crossword	0	3	3
crotch	2	0	2
crotchu	0	1	1
crouched	0	1	1
croupy	1	0	1
crow	2	5	7
crowd	12	10	22
crowded	3	6	9
crowds	2	3	5
crowed	0	1	1
crowley	1	0	1
crown	3	2	5
crowne	1	0	1
crowned	0	1	1
crowns	1	1	2
crows	1	4	5
croydon	1	1	2
crp	1	0	1
crrrazy	1	0	1
crryy	1	0	1
crs	1	0	1
crt	0	1	1
cruches	1	0	1
crucial	1	1	2
crucible	0	1	1
crud	5	2	7
crude	1	0	1
crue	0	1	1
cruel	18	2	20
cruelly	2	0	2
cruelty	1	1	2
cruise	14	19	33
cruised	1	0	1
cruiser	1	1	2
cruisers	1	0	1
cruisin	1	2	3
cruising	1	3	4
crumb	1	3	4
crumbling	1	0	1
crumbs	1	2	3
crummies	1	0	1
crummy	4	1	5
crumpets	2	1	3
crunch	3	6	9
crunches	1	0	1
crunchies	1	0	1
crunchy	2	7	9
crunk	0	2	2
crunkk	0	1	1
crush	18	13	31
crushed	9	1	10
crushes	0	1	1
crushing	1	1	2
crushit	0	1	1
crusing	1	0	1
cruskets	1	0	1
crust	2	1	3
crusty	2	1	3
crutch	0	1	1
crutches	2	1	3
crux	0	1	1
cruz	1	4	5
crv	0	1	1
cry	187	34	221
crybabies	0	1	1
cryed	2	0	2
cryin	4	1	5
crying	101	10	111
cryingg	2	0	2
cryptic	0	2	2
crys	1	0	1
crysies	1	0	1
crysis	1	1	2
crystal	6	7	13
crystaldermy	1	0	1
cryyy	2	0	2
crzlilho	1	0	1
cs	13	4	17
csa	1	0	1
csat	1	0	1
csc	1	0	1
csi	2	7	9
csin	0	1	1
csk	1	1	2
csl	0	1	1
cspan	0	2	2
css	6	4	10
cssbag	0	1	1
cssedit	2	0	2
cst	1	0	1
csudh	0	1	1
csuf	1	1	2
csun	0	1	1
ct	12	6	18
ctf	0	1	1
cthlive	0	1	1
ctrl	1	1	2
cts	0	1	1
ctt	1	0	1
cu	4	12	16
cuaad	0	1	1
cuadrapicha	1	0	1
cuase	0	1	1
cub	2	1	3
cuba	3	1	4
cuban	2	1	3
cubana	0	1	1
cubanito	0	1	1
cubanos	1	0	1
cubbies	0	1	1
cubby	0	1	1
cube	5	2	7
cubes	4	0	4
cubicle	2	1	3
cubo	1	0	1
cuboards	1	0	1
cubs	4	4	8
cuckold	0	1	1
cuckoo	1	2	3
cuckoos	1	0	1
cucumber	0	1	1
cucumbers	0	1	1
cud	13	3	16
cudddling	0	1	1
cuddle	27	10	37
cuddled	0	1	1
cuddles	7	4	11
cuddlies	0	1	1
cuddling	5	4	9
cuddly	2	1	3
cuddy	1	0	1
cudi	1	0	1
cudn	1	0	1
cudnt	3	1	4
cue	4	1	5
cuento	1	0	1
cuervo	0	1	1
cuff	1	0	1
cuffin	0	1	1
cuffs	1	0	1
cuh	0	1	1
cuhz	0	1	1
cuidalo	0	1	1
cuisine	0	2	2
cuk	1	0	1
cul	0	1	1
culd	1	0	1
culdnt	2	0	2
culinary	2	0	2
cull	1	0	1
cullen	3	7	10
cullens	0	1	1
culling	1	0	1
cullum	0	1	1
cult	1	3	4
cultivating	0	1	1
cultural	0	4	4
culture	4	5	9
cultured	1	2	3
cultures	1	1	2
cultus	0	1	1
culver	1	0	1
culzean	1	0	1
cum	6	4	10
cuma	0	1	1
cumbernauld	0	1	1
cumbersome	1	0	1
cumbrian	1	0	1
cuming	1	0	1
cumplea	0	1	1
cumulative	1	0	1
cunning	0	1	1
cunningly	0	1	1
cunt	3	2	5
cunts	0	1	1
cuomo	0	1	1
cuorious	0	1	1
cup	48	50	98
cupar	0	1	1
cupboard	6	0	6
cupboards	0	1	1
cupcake	7	11	18
cupcakefest	1	0	1
cupcakes	4	18	22
cupertino	1	0	1
cupids	1	0	1
cuppa	4	5	9
cupple	0	1	1
cuppy	1	0	1
cups	2	5	7
curand	0	1	1
curating	0	1	1
curator	0	1	1
curb	4	1	5
curbs	0	1	1
cure	6	14	20
